TroubleTicketing_22-Jan-2026_16-2-59Ticket Id,Site Id,Site Name,Dependent Sites,Site Class,Site Class Code,Anchor Opco Site id,Power Model,Region,District,Power Vendor,Site Area Type,Vendor,Operator Parameter,Operator Exempted,Alarm Description,Equipment,Alarm Start Date Time,Alarm End Date Time,Problem Start Date,Problem End Date,Ticket Log Date,Logged By,Operator,Ticket Closure Date,Assigned To,Ticket Hierarchy,Digitally Dispatch,Contact No.,Assigned Date,Closed By,Total Duration,Duration,Operator SLA,Vendor SLA,SLA Remaining Time Operator,SLA Remaining Time Vendor,Alarm Status,Ticket Treatment,Ticket Status,Severity,Current Level,ETA (Mins.),ETA Time,ETR (Mins.),ETR Time,RCA Category,RCA Sub Category,RCA,Ref Ticket ID,Remarks,Alarm Detail,Problem Description,Ticket Type,Ticket Mode,Total Effected Duration,Effected Sites,Battery Discharge Start Date Time,Spare Parts,Battery Backup Duration,DG Night Time Restriction (HH:MM),Site Latitude,Site Longitude,User Lat,User Long,Distance (Kms.),DG Meter Reading,Grid Meter Reading,Fuel Level,Action Taken,Service Type,Parent Ticket Id,Refer Count,Hub Site Id,Child Ticket Count,PR No,Abstract,Service Impacted,Service Impact Start,Services Affected,Initial Analysis,X-References,TwoG Node,ThreeG Node,LTE,IP Site,Originator Id,Originator Group,Last Referred Group,Reffered to Group,RTTS Clear Group,Action,Status Reason,RTTS Opr Site Id,Fault Area,Fault Area Detail,Resolution Method,Node,Network,Site Location,Solution Details,Restoration Approval Time,Restoration Time,Approval Time,Approval Resolve Time,NET Resolution Time,Severity Change Time,Generator Asset Id,Priority,Delay Reason,TT Response Time,undefined,undefined,undefined,Hub Time(HH:MM),RTTS Ticket Create Date,Severity Change Remarks
"TT00708857","1000100","Udhailiyah-GOSP12","ST","VIP Metro","Titanium","ZDB074","Hybrid","West","Tabuk","Ericsson-PV","Rural","Huawei","STC","","Stc Rtts","AC Meter","","","26-Aug-2025 04:15","","09-Dec-2025 15:47:59","RTTS","STC","","TWL_South ","Parent","","","09-Dec-2025 15:47:59","","149 Day(s) 11:49:28","3588","-      ","","      ","","","Standard","Referred","Critical","Third Escalation","","","","","","","","","","","","RTTS Ticket","Integration","00:00:00","0","","","","","27.96396","35.25265","","","","","","","","VIP Metro","","1","","","RTTS998","Tawal Test Ticket_011","Degraded","26-AUG-2025 04:15:45","FTTH","","","1","1","11","1","1001","112","Service Desk","TWL_SREriE&M","","","","ZDB074","","","","","MOBILE","","","","","","","","","","P0","","","","","","","11-Sep-2024 14:32:06","",
"TT00709166","1000011","ZJZ296","ST(PG)","Remote","Classic","ZJZ296","Hybrid","South","Jizan","Ericsson-PV","Rural","Huawei","STC","","-48v Power Too High Alarm","AC Meter","08-Jan-2026 17:12:46","","08-Jan-2026 17:12","","08-Jan-2026 17:15:21","System","STC","","TWL-EM-SOUTH Mohamed TalaatSaad Ramadan","Parent","","567840846","08-Jan-2026 17:15:21","","13 Day(s) 22:52:29","335","STC-No      ","No","-13 Day(s) 15:52:29      ","-13 Day(s) 15:52:29","Open","Standard","Assign","Critical","Third Escalation","","","","","","","","","Remarks added","-48v Power Too High Alarm,Acu Fault (Itc)","","Incident","Auto","13 Day(s) 22:52:29","1","","","","","17.43723","42.96968","","","","","","","","Remote","","1","HSID1","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709287","1004596","ZNN767","ST,SM(PG)","Metro","Classic","ZNN767","Grid","South","Najran","Huawei-PV","Urban","Huawei","","","Door Alarm","General","03-Jul-2021 07:54:35","","03-Jul-2021 07:54","","21-Jan-2026 16:34:45","System","STC,Salam","","TWL-EM-SOUTH ","Parent","","","21-Jan-2026 16:34:45","","1664 Day(s) 08:09:54","39944","STC-No      ","No","-1664 Day(s) 03:09:54      ","-1664 Day(s) 03:09:54","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm","","Incident","Auto","1664 Day(s) 08:09:54","1","","","","","17.54426","44.21997","","","","","","","","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709187","1000039","ZRH309","ST(PG)","Metro","Classic","ZRH309","Grid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Acu Fault (Itc)","General","","","12-Jan-2026 11:46","","12-Jan-2026 11:46:46","Super Admin  - 9898976789(superadmin)","STC","","3rd Escalation ","Parent","","","12-Jan-2026 11:46:46","","10 Day(s) 04:18:28","244","STC-No      ","No","-9 Day(s) 23:18:29      ","-9 Day(s) 23:18:29","","Standard","Assign","Critical","Third Escalation","","","","","","","","","","","","Incident","Manual","10 Day(s) 04:18:28","1","","","","","24.78348","46.74129","","","","","","","","Metro","","1","","","","","Outage","12-Jan-2026 11:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709231","1000061","ZRH326","ST(PG)","Metro","Classic","ZRH326","Grid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Generator 2 Running","General","30-Dec-2025 00:00:00","","30-Dec-2025 00:00","","15-Jan-2026 10:34:08","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","15-Jan-2026 10:34:08","","23 Day(s) 16:04:29","568","STC-No      ","No","-21 Day(s) 16:04:29      ","-21 Day(s) 16:04:29","Open","Standard","Assign","Low","First Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","23 Day(s) 16:04:29","1","","","","","24.83019","46.61076","","","","","","","","Metro","","1","HSID1","","","","No","30-Dec-2025 00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00709300","1011494","ZKH833","ST(PG)","Metro","Classic","ZKH833","Grid","South","Asir","Nokia-PV","Urban","Ericsson","","","Door Alarm","General","03-Jul-2021 12:31:01","","03-Jul-2021 12:31","","21-Jan-2026 16:34:49","System","STC","","TWL-EM-SOUTH ","Parent","","","21-Jan-2026 16:34:49","","1664 Day(s) 03:33:28","39940","STC-No      ","No","-1663 Day(s) 22:33:28      ","-1663 Day(s) 22:33:28","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm","","Incident","Auto","1664 Day(s) 03:33:28","1","","","","","18.30686","42.69175","","","","","","","","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709259","1013282","ZNJ512","ST(PG)","Remote","Golden","ZNJ512","Grid","West","Makkah","Nokia-PV","Rural","Ericsson","STC","","Door Alarm","General","03-Jul-2021 00:08:34","","03-Jul-2021 00:08","","21-Jan-2026 16:34:32","System","STC","","TWL-EM-EAST JAMAL UDDIN SHAHAJ","Parent","","530304981","22-Jan-2026 15:37:17","","1664 Day(s) 15:56:29","39952","STC-No      ","No","-1664 Day(s) 08:56:29      ","-1664 Day(s) 08:56:29","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","Remarks added","Door Alarm,Door Alarm","","Incident","Auto","1664 Day(s) 15:56:29","1","","","","","22.35994","39.31398","","","","","","","","Remote","","1","HSID1","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709314","1004670","ZMC650","ST(PG)","Metro","Golden","ZMC650","Grid","West","Makkah","Nokia-PV","Urban","Nokia","","","Door Alarm","General","03-Jul-2021 13:36:14","","03-Jul-2021 13:36","","21-Jan-2026 16:34:52","System","STC","","TWL-EM-WEST MOSHAAEB Hussien IsaMohammed","Parent","","504958267","21-Jan-2026 16:34:52","","1664 Day(s) 02:28:15","39938","STC-No      ","No","-1663 Day(s) 21:28:15      ","-1663 Day(s) 21:28:15","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","1664 Day(s) 02:28:15","1","","","","","21.41385","39.87096","","","","","","","","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709336","1000090","ZNJA367","ST(PG)","Metro","Classic","ZNJA367","Grid","West","Jeddah","Ericsson-PV","Urban","Ericsson","STC","","Acu Fault (Itc)","General","","","22-Jan-2026 12:05","","22-Jan-2026 12:05:43","Super Admin  - 9898976789(superadmin)","STC","","3rd Escalation ","Parent","","","22-Jan-2026 12:05:43","","03:59:29","4","STC-Yes      ","Yes","01:00:31      ","01:00:31","","Standard","Assign","Critical","Third Escalation","10","22-Jan-2026 14:48:09","30","22-Jan-2026 14:48:09","","","","","reassigned","","","Incident","Manual","03:59:29","1","","","","","21.424999","39.306671","","","","","","","","Metro","","1","","","","","Outage","22-Jan-2026 12:04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709289","1009151","ZJZ461","ST(PG)","Remote","Classic","ZJZ461","Grid","South","Jizan","Huawei-PV","SubUrban","Huawei","","","Door Alarm","General","03-Jul-2021 08:57:55","","03-Jul-2021 08:57","","21-Jan-2026 16:34:46","System","STC","","TWL-EM-SOUTH Hassan Mansou OsmanSuliman","Parent","","577143343","21-Jan-2026 16:34:46","","1664 Day(s) 07:06:34","39943","STC-No      ","No","-1664 Day(s) 00:06:34      ","-1664 Day(s) 00:06:34","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm","","Incident","Auto","1664 Day(s) 07:06:34","1","","","","","16.66685","42.93676","","","","","","","","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00708968","1000028","PBH010","ST(PG)","Metro","Classic","PBH010","Grid","South","Bahah","Ericsson-PV","Urban","Nokia","","","Door Alarm(Hajj)","General","11-Dec-2025 20:26:39","11-Dec-2025 20:28:12","11-Dec-2025 20:26","11-Dec-2025 20:28","11-Dec-2025 20:27:01","System","STC","","TWL-EM-SOUTH Elsaeed Fekry Mohammed","Parent","","543527480","11-Dec-2025 20:27:01","System","00:01:33","0","STC-Yes      ","Yes","04:58:27      ","04:58:27","Closed","Standard","Assign","Critical","First Escalation","","","","","","","","","","Door Alarm(Hajj)","","Incident","Auto","00:01:33","1","","","","","20.02137","41.4589","","","","","","","","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","00:00","","","P0","","","","","","","","",
"TT00709123","1000057","ZWJ022","ST(PG)","Metro","Classic","ZWJ022","Grid","West","Tabuk","Ericsson-PV","SubUrban","Huawei","STC","","Door Alarm","General","30-Dec-2025 00:00:00","","30-Dec-2025 00:00","","30-Dec-2025 15:53:49","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Child","","9898976789","30-Dec-2025 15:53:49","","23 Day(s) 16:04:29","568","STC-No      ","No","-23 Day(s) 11:04:29      ","-23 Day(s) 11:04:29","Open","Standard","Assign","Critical","Assignment","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description from bulk upload","Incident","Manual","23 Day(s) 16:04:29","1","","","","","26.26056","36.44891","","","","","","","","Metro","TT00709124","1","HSID1","","","","No","30-Dec-2025 00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709201","1000061","ZRH326","ST(PG)","Metro","Classic","ZRH326","Grid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Generator 2 Running","General","13-Jan-2026 14:34:00","","13-Jan-2026 14:34","","13-Jan-2026 14:35:32","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","13-Jan-2026 14:35:33","","9 Day(s) 01:30:29","218","STC-No      ","No","-7 Day(s) 01:30:29      ","-7 Day(s) 01:30:29","Open","Standard","Assign","Low","First Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","9 Day(s) 01:30:29","1","","","","","24.83019","46.61076","","","","","","","","Metro","","1","HSID1","","","","No","13-Jan-2026 14:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00708782","1000007","PNJ789","ST(PG)","Metro","Classic","PNJ789","Private Source","West","Jeddah","Ericsson-PV","Urban","Ericsson","STC","","Acu Fault (Operator7)","General","","","02-Dec-2025 16:45","","02-Dec-2025 16:45:08","Super Admin  - 9898976789(superadmin)","STC",""," ","Parent","","","02-Dec-2025 16:45:09","","50 Day(s) 23:19:29","1223","STC-No      ","No","-50 Day(s) 18:19:29      ","-50 Day(s) 18:19:29","","Standard","Assign","Critical","First Escalation","","","","","","","","","scss","","","Incident","Manual","50 Day(s) 23:19:29","1","","","","","21.764683","39.169669","","","","","","","","Metro","","1","HUBSITE7","","","","Outage","02-Dec-2025 11:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709007","1005614","ZMC781","ST(PG)","VIP Remote,Metro","Titanium","ZMC781","Grid","West","Taif","Nokia-PV","Rural","Ericsson","Golden Latis Investment,STC","","Acu Fault (Operator6)","General","","","12-Dec-2025 16:11","","12-Dec-2025 16:11:10","Super Admin  - 9898976789(superadmin)","STC","","2nd Escalation ","Parent","","","12-Dec-2025 16:11:10","","40 Day(s) 23:53:29","984","STC-No      ","No","-40 Day(s) 18:53:29      ","-40 Day(s) 18:53:29","","Standard","Assign","Critical","First Escalation","","","","","","","","","","","","Incident","Manual","40 Day(s) 23:53:29","1","","","","","21.64878","40.38609","","","","","","","","VIP Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
